,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_value,reviews_per_month
6659,48109759,2022-09-19,326010257,f,Pacific Beach,32.80473,-117.24201,Entire home/apt,False,False,$308.00,9,2022-08-04,4.78,5.0,5.0,0.55
6660,48110337,2022-09-19,88168913,f,Mission Bay,32.773291613524776,-117.25244376013748,Entire home/apt,False,False,$682.00,2,2022-07-21,5.0,5.0,4.5,0.4
6661,47563901,2022-09-19,383829497,t,Mission Bay,32.76486,-117.25014,Entire home/apt,False,False,$216.00,72,2022-09-06,4.88,4.97,4.79,3.55
6662,48111007,2022-09-18,17013472,t,West University Heights,32.76281,-117.15994,Entire home/apt,True,False,$298.00,4,2022-06-09,4.0,4.0,4.5,0.21
6663,48119722,2022-09-19,28615168,f,East Village,32.71067,-117.15362,Entire home/apt,False,False,$178.00,11,2022-09-11,4.18,4.36,3.73,2.08
6664,47564553,2022-09-18,383829497,t,Mission Bay,32.76539,-117.25136,Entire home/apt,False,False,$223.00,55,2022-09-14,4.85,4.95,4.71,4.1
6665,48120116,2022-09-18,357895140,f,La Jolla,32.82858,-117.27824,Entire home/apt,False,False,$395.00,18,2022-08-24,4.94,5.0,4.94,0.98
6666,47564897,2022-09-18,383829497,t,Mission Bay,32.76518,-117.25178,Entire home/apt,False,False,$850.00,6,2022-08-06,5.0,5.0,5.0,1.61
6667,47566295,2022-09-18,3017970,f,Mission Bay,32.77515,-117.25267,Entire home/apt,False,False,$369.00,9,2022-08-25,5.0,5.0,5.0,0.46
6668,48122949,2022-09-18,111950789,f,Del Mar Heights,32.94986,-117.25594,Entire home/apt,True,True,$850.00,23,2022-07-30,4.57,4.96,4.7,1.28
6669,48134791,2022-09-19,326010257,f,Mission Bay,32.79072,-117.25057,Entire home/apt,False,False,"$1,276.00",35,2022-08-08,4.77,4.94,4.54,1.93
6670,47568382,2022-09-18,383859587,t,Mission Valley,32.77388,-117.14848,Entire home/apt,False,False,$192.00,9,2022-08-03,5.0,5.0,4.89,0.66
6671,48135318,2022-09-18,326010257,f,Pacific Beach,32.80473,-117.24201,Entire home/apt,False,False,$480.00,7,2022-05-01,5.0,5.0,4.86,0.48
6672,48299047,2022-09-18,1028043,f,Loma Portal,32.75134,-117.23548,Entire home/apt,False,False,$145.00,15,2022-08-20,4.8,4.73,4.2,0.83
6673,48299974,2022-09-18,259091235,t,Pacific Beach,32.80626,-117.23934,Entire home/apt,False,False,$611.00,80,2022-09-13,4.95,4.98,4.88,4.23
6674,48135451,2022-09-19,326010257,f,Pacific Beach,32.80466,-117.24199,Entire home/apt,False,False,$327.00,6,2022-07-02,4.83,5.0,4.5,0.38
6675,48138168,2022-09-19,874515,f,Mission Bay,32.785313,-117.254036,Entire home/apt,False,False,"$1,599.00",0,,,,,
6676,48146253,2022-09-18,2015818,f,La Jolla,32.84814,-117.24985,Entire home/apt,False,False,$449.00,28,2022-08-24,4.89,5.0,4.79,1.82
6677,48156399,2022-09-19,56877804,f,East Village,32.71026,-117.15538,Entire home/apt,False,False,$150.00,1,2021-06-30,5.0,5.0,5.0,0.07
6678,48300443,2022-09-18,313105799,t,Northwest,32.62288,-117.08391,Entire home/apt,False,False,$127.00,31,2022-08-08,5.0,4.84,4.9,1.69
6679,48156791,2022-09-19,56877804,f,West University Heights,32.76174,-117.14134,Entire home/apt,False,False,$160.00,3,2021-08-15,4.67,5.0,4.67,0.18
6680,48159842,2022-09-19,17013472,t,Midtown,32.73948,-117.16096,Entire home/apt,False,False,$314.00,1,2022-05-21,5.0,5.0,4.0,0.25
6681,48167076,2022-09-19,39826563,f,Gaslamp Quarter,32.70919,-117.15971,Entire home/apt,False,False,$133.00,2,2021-05-31,5.0,5.0,4.0,0.12
6682,48181048,2022-09-18,8336938,t,Moreno Mission,32.77267,-117.19556,Entire home/apt,False,False,$417.00,18,2022-03-20,4.94,4.94,4.89,1.05
6683,48183619,2022-09-18,36148546,t,Pacific Beach,32.79562,-117.23382,Entire home/apt,False,False,$143.00,98,2022-09-17,4.99,4.95,4.94,5.24
6684,48184068,2022-09-19,9832430,t,Pacific Beach,32.80038,-117.23166,Entire home/apt,True,True,$316.00,34,2022-09-15,5.0,4.79,4.76,1.79
6685,48301033,2022-09-19,357245728,f,Sky Line,32.70484,-117.04647,Private room,False,False,$50.00,0,,,,,
6686,48184360,2022-09-18,74651815,t,Bay Park,32.78833,-117.19182,Entire home/apt,False,False,$489.00,11,2022-07-29,4.91,4.82,4.82,0.63
6687,48186745,2022-09-19,1028043,f,Mission Bay,32.79059,-117.23969,Entire home/apt,False,False,$281.00,7,2022-02-14,4.71,4.71,4.14,0.39
6688,48301475,2022-09-18,49282351,f,Bay Park,32.79879,-117.20814,Entire home/apt,False,False,$150.00,40,2022-08-28,4.85,4.9,4.8,2.17
6689,48301776,2022-09-19,71718651,f,Balboa Park,32.71828,-117.1373,Entire home/apt,False,False,$103.00,113,2022-08-31,4.79,4.95,4.85,6.1
6690,48188004,2022-09-19,160659473,t,Pacific Beach,32.80239,-117.23647,Entire home/apt,False,False,$275.00,3,2022-09-05,4.0,5.0,4.67,0.23
6691,48302758,2022-09-19,88168913,f,Pacific Beach,32.80001,-117.24838,Entire home/apt,False,False,$993.00,3,2022-07-24,5.0,5.0,5.0,0.17
6692,48190142,2022-09-19,356251251,f,North Hills,32.74478,-117.12219,Entire home/apt,False,False,$368.00,20,2022-07-25,4.9,4.85,4.55,1.08
6693,48195109,2022-09-19,165140345,f,La Jolla,32.82868,-117.26881,Entire home/apt,True,True,"$1,800.00",10,2022-08-07,4.9,5.0,4.8,0.66
6694,48196457,2022-09-19,341293340,t,Pacific Beach,32.79222,-117.25417,Entire home/apt,False,False,$900.00,33,2022-09-04,4.94,4.94,4.82,2.11
6695,48198956,2022-09-19,187933274,f,North Hills,32.74332,-117.14492,Entire home/apt,False,False,$170.00,56,2022-07-05,4.61,4.71,4.43,2.95
6696,48311324,2022-09-19,389927169,t,Mission Bay,32.76371,-117.25069,Entire home/apt,False,False,$796.00,25,2022-09-12,5.0,4.96,4.92,1.41
6697,48200127,2022-09-18,388874758,t,City Heights West,32.74835,-117.1172,Entire home/apt,False,False,$90.00,25,2022-08-29,4.76,4.92,4.72,1.32
6698,48315840,2022-09-19,147276739,f,Pacific Beach,32.79776,-117.25616,Entire home/apt,False,False,$392.00,14,2022-08-22,4.86,5.0,4.93,0.89
6699,48200237,2022-09-18,38690778,t,La Jolla,32.82678,-117.28013,Entire home/apt,False,False,$389.00,26,2022-08-15,4.77,4.96,4.77,1.46
6700,48316601,2022-09-19,161472256,f,Core,32.71817,-117.1577,Entire home/apt,False,False,$258.00,113,2022-09-08,4.76,4.76,4.62,6.03
6701,48202536,2022-09-19,874515,f,Mission Bay,32.77275,-117.2508,Entire home/apt,False,False,"$1,099.00",0,,,,,
6702,48316880,2022-09-18,206500947,f,East Village,32.71261,-117.1559,Entire home/apt,False,False,$264.00,154,2022-09-14,4.79,4.83,4.65,8.24
6703,48210719,2022-09-18,385243492,t,University City,32.85608,-117.20401,Entire home/apt,False,False,$186.00,39,2022-08-23,4.79,4.79,4.64,2.17
6704,48318928,2022-09-18,349885037,f,Rolando,32.75648,-117.06464,Entire home/apt,False,False,$132.00,8,2022-08-15,4.13,4.13,3.63,0.48
6705,48226377,2022-09-19,5615582,f,Core,32.71585,-117.16228,Private room,False,False,$582.00,0,,,,,
6706,48226379,2022-09-19,5615582,f,Core,32.71715,-117.16248,Private room,False,False,$776.00,0,,,,,
6707,48226382,2022-09-19,5615582,f,Core,32.71658,-117.1644,Private room,False,False,$193.00,4,2022-08-01,4.0,4.5,4.0,2.35
6708,48226385,2022-09-19,5615582,f,Core,32.71572,-117.16233,Private room,False,False,$194.00,0,,,,,
6709,48231448,2022-09-18,389143849,t,Mira Mesa,32.91752,-117.16106,Entire home/apt,True,True,$236.00,83,2022-09-12,4.87,4.94,4.92,4.79
