,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,review_scores_rating,reviews_per_month
1549,669972067286606764,2022-09-28,159355723,f,City of Santa Cruz,36.97767967043388,-122.00476326254103,Private room,False,False,$95.00,0,,,,,,,,,
1550,670111092738508627,2022-09-28,3762171,f,Unincorporated Areas,36.96654,-121.79243,Entire home/apt,False,False,$202.00,27,2022-09-26,5.0,4.96,5.0,5.0,5.0,4.78,5.0,13.28
1551,670169654728809907,2022-09-28,126644161,f,Unincorporated Areas,37.12437,-122.12363,Entire home/apt,False,False,$228.00,4,2022-09-18,3.5,3.5,4.75,4.75,4.25,4.0,4.0,1.79
1552,671123295480127366,2022-09-28,191263876,f,Unincorporated Areas,37.10309,-121.92665,Entire home/apt,False,False,$49.00,6,2022-09-10,5.0,5.0,4.33,5.0,5.0,5.0,4.67,2.65
1553,671822834734351607,2022-09-28,211183368,f,Unincorporated Areas,36.97095,-121.72411,Entire home/apt,False,False,$136.00,1,2022-07-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.5
1554,671985896316197988,2022-09-28,66186705,f,Unincorporated Areas,36.99836,-121.80732,Entire home/apt,True,True,$201.00,3,2022-09-19,5.0,4.33,5.0,4.67,5.0,5.0,5.0,3.0
1555,674074605237960191,2022-09-28,1983160,f,City of Santa Cruz,36.96384313531637,-122.0569125379174,Entire home/apt,False,False,$382.00,6,2022-09-04,4.33,5.0,5.0,4.83,4.67,4.33,4.33,2.77
1556,674784761589708413,2022-09-28,47316700,t,City of Santa Cruz,36.96395752718856,-122.0012057491734,Entire home/apt,False,False,$129.00,16,2022-09-24,4.94,4.94,4.94,5.0,5.0,4.81,4.88,7.74
1557,674932487770096410,2022-09-28,401870088,f,City of Capitola,36.98318,-121.93801,Entire home/apt,True,False,$190.00,0,,,,,,,,,
1558,676950963383247705,2022-09-28,47316700,t,Unincorporated Areas,37.09923,-122.03632,Entire home/apt,False,False,$265.00,7,2022-09-19,5.0,4.71,4.71,5.0,5.0,4.43,4.71,3.96
1559,678882524367630224,2022-09-28,138428723,t,Unincorporated Areas,37.0013691405498,-122.03029994355754,Entire home/apt,False,False,$161.00,0,,,,,,,,,
1560,679745247041664035,2022-09-28,35295881,f,Unincorporated Areas,36.97861129214312,-121.97712535718712,Entire home/apt,False,False,$165.00,5,2022-09-05,4.8,4.8,4.8,5.0,4.8,4.8,4.8,3.06
1561,680414626321768087,2022-09-28,47316700,t,Unincorporated Areas,37.08873,-122.08526,Entire home/apt,False,False,$252.00,12,2022-09-23,4.92,5.0,4.92,5.0,5.0,4.67,5.0,6.55
