,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,review_scores_rating,reviews_per_month
1457,37210029,2022-09-18,5858827,f,Produce And Waterfront,37.77918,-122.2839,Private room,False,False,$56.00,9,2019-11-22,3.89,4.44,4.33,4.11,4.22,4.44,4.33,0.24
1458,37212639,2022-09-18,3709999,f,Fremont,37.77397,-122.21373,Private room,False,False,$90.00,3,2019-09-30,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.08
1459,37260308,2022-09-18,21659550,t,Paradise Park,37.84367,-122.27998,Entire home/apt,False,False,$95.00,78,2022-09-12,4.86,4.71,4.87,4.88,4.83,4.74,4.78,2.12
1460,37296830,2022-09-18,280784001,f,Golden Gate,37.84544,-122.29076,Entire home/apt,False,False,$80.00,10,2022-05-29,4.9,5.0,5.0,4.6,4.9,4.8,5.0,0.26
1461,37366072,2022-09-18,130203177,f,South Kennedy Tract,37.77267,-122.25182,Entire home/apt,False,False,$94.00,28,2022-09-05,4.93,4.93,4.85,5.0,5.0,4.93,4.89,0.82
1462,37391058,2022-09-18,264619716,t,Produce And Waterfront,37.77438,-122.27169,Entire home/apt,False,False,$159.00,58,2022-08-21,4.9,4.95,4.93,5.0,4.97,4.76,4.83,1.54
1463,37524265,2022-09-18,15624193,f,South Prescott,37.80393,-122.29761,Private room,False,False,$75.00,49,2022-09-12,4.8,4.61,4.37,4.61,4.88,4.49,4.49,1.3
1464,37600573,2022-09-18,13467172,f,Shafter,37.83921,-122.25553,Entire home/apt,False,False,$105.00,17,2022-04-10,4.82,4.94,4.53,5.0,4.82,4.53,4.71,0.49
1465,37744895,2022-09-18,285359338,f,Fairview Park,37.85057,-122.25988,Entire home/apt,False,False,$150.00,10,2022-07-26,4.4,4.8,3.5,4.7,4.3,4.4,4.3,0.32
1466,37756160,2022-09-18,6936951,t,Panoramic Hill,37.88097,-122.26362,Entire home/apt,False,False,$298.00,39,2022-08-27,4.79,4.95,5.0,4.82,4.97,4.72,4.85,1.05
1467,37783988,2022-09-18,97825584,t,Bushrod,37.83968,-122.26666,Entire home/apt,False,False,$95.00,45,2022-08-29,4.93,4.96,4.93,5.0,5.0,4.91,4.96,1.26
1468,37831550,2022-09-18,5381274,f,Bushrod,37.8481,-122.26587,Entire home/apt,False,False,$95.00,21,2021-09-07,4.86,5.0,5.0,5.0,5.0,4.81,5.0,0.58
1469,37837194,2022-09-18,9667769,t,Longfellow,37.83581,-122.27038,Entire home/apt,False,False,$90.00,10,2021-10-16,5.0,4.9,4.7,5.0,5.0,4.8,4.7,0.27
1470,37862281,2022-09-18,157423796,t,Glenview,37.80841,-122.21686,Entire home/apt,False,False,$131.00,88,2022-09-08,4.82,4.9,4.85,4.95,4.98,4.78,4.77,2.36
1471,37920195,2022-09-18,550094,f,Bancroft Business-Havenscourt,37.76677,-122.18522,Entire home/apt,False,False,$160.00,2,2021-09-29,4.5,4.0,4.0,5.0,5.0,4.5,4.5,0.06
1472,37951038,2022-09-18,5928036,f,Grand Lake,37.81621,-122.25097,Entire home/apt,False,False,$308.00,93,2022-09-14,4.87,4.77,4.92,4.7,4.69,4.75,4.8,2.49
1473,38028889,2022-09-18,288550885,f,Oakmore,37.80593,-122.21012,Private room,False,False,$75.00,9,2022-08-31,4.29,5.0,4.29,5.0,4.86,4.71,4.43,0.24
1474,38041215,2022-09-18,3709999,f,Reservoir Hill-Meadow Brook,37.78901,-122.22933,Private room,False,False,$90.00,1,2019-08-26,5.0,5.0,5.0,5.0,2.0,5.0,4.0,0.03
1475,38045995,2022-09-18,63012828,f,Oakland Ave-Harrison St,37.81941,-122.25863,Entire home/apt,False,False,$200.00,5,2021-07-16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.15
1476,38064622,2022-09-18,288852846,t,Longfellow,37.83142,-122.27281,Entire home/apt,False,False,$390.00,71,2022-06-27,4.97,4.77,4.93,5.0,4.99,4.73,4.94,1.94
1477,38125802,2022-09-18,71817385,f,Toler Heights,37.749,-122.15509,Entire home/apt,False,False,$103.00,6,2021-12-30,4.33,3.17,4.33,4.17,4.33,3.83,4.17,0.26
1478,38125958,2022-09-18,71817385,f,Toler Heights,37.75116,-122.15482,Entire home/apt,False,False,$150.00,0,,,,,,,,,
1479,38137931,2022-09-18,12409359,t,Bushrod,37.85277,-122.27187,Entire home/apt,False,False,$285.00,107,2022-09-04,4.79,4.89,4.78,4.94,4.93,4.71,4.77,2.92
1480,38160049,2022-09-18,6887520,t,Sheffield Village,37.73389062605053,-122.1321736931627,Entire home/apt,True,True,$208.00,1,2022-09-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
1481,38160576,2022-09-18,225154137,t,Laurel,37.78831,-122.19658,Entire home/apt,False,False,$216.00,85,2022-09-11,4.8,4.59,4.95,4.86,4.91,4.68,4.75,4.81
1482,38162267,2022-09-18,225154137,t,Upper Laurel,37.79024,-122.19442,Private room,False,False,$66.00,43,2022-08-16,4.93,4.79,4.93,4.81,4.93,4.84,4.91,1.17
1483,38163186,2022-09-18,225154137,t,Upper Laurel,37.78844,-122.19565,Private room,False,False,$66.00,38,2022-09-02,4.82,4.82,4.95,4.89,4.92,4.76,4.84,1.03
1484,38164461,2022-09-18,225154137,t,Upper Laurel,37.79042,-122.19516,Private room,False,False,$66.00,15,2020-01-01,4.87,4.67,4.93,4.87,5.0,4.87,4.93,0.41
1485,38167540,2022-09-18,225154137,t,Upper Laurel,37.79061,-122.1954,Private room,False,False,$66.00,36,2022-08-30,4.97,4.75,5.0,4.97,5.0,4.89,4.97,0.98
1486,38172187,2022-09-18,27615651,f,Paradise Park,37.86664,-122.28284,Entire home/apt,False,False,$116.00,3,2020-03-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09
1487,38191033,2022-09-18,35424833,t,San Pablo Gateway,37.80592,-122.27429,Entire home/apt,False,False,$85.00,18,2022-09-17,4.89,4.61,4.83,4.89,4.94,4.67,4.83,0.5
1488,38232358,2022-09-18,225154137,t,Upper Laurel,37.78848,-122.19471,Private room,False,False,$76.00,65,2022-08-31,5.0,4.72,4.95,4.88,4.98,4.89,4.92,1.78
1489,38263870,2022-09-18,290797539,f,Eastmont Hills,37.76963,-122.16423,Entire home/apt,False,False,$78.00,59,2022-09-12,4.67,4.76,4.71,4.9,4.81,4.81,4.69,1.88
1490,38303625,2022-09-18,291220760,t,Upper Dimond,37.80368,-122.21599,Entire home/apt,False,False,$115.00,135,2022-08-05,4.94,4.91,4.87,4.9,4.93,4.86,4.9,3.85
1491,38323997,2022-09-18,58786284,t,Produce And Waterfront,37.77741,-122.2633,Entire home/apt,False,False,$125.00,148,2022-09-11,4.97,4.93,4.96,4.97,4.97,4.86,4.95,4.05
